,Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
306,2018,Q3,Nebraska,46000.0,47000,3700.0,880,13500
307,2018,Q3,New Jersey,16000.0,16000,420.0,280,110
308,2018,Q3,New Mexico,8500.0,8500,2500.0,1800,200
309,2018,Q3,New York,59000.0,59000,6500.0,3100,9000
310,2018,Q3,North Carolina,26000.0,27000,3300.0,4100,2900
311,2018,Q3,North Dakota,470000.0,490000,48000.0,24000,100000
312,2018,Q3,Ohio,23000.0,23000,1800.0,1100,1800
313,2018,Q3,Oklahoma,4400.0,4400,510.0,80,270
314,2018,Q3,Oregon,94000.0,101000,13500.0,7500,28000
315,2018,Q3,Pennsylvania,18500.0,18500,1500.0,6000,1600
316,2018,Q3,South Carolina,14500.0,14500,1700.0,640,440
317,2018,Q3,South Dakota,152000.0,159000,16500.0,6000,7500
318,2018,Q3,Tennessee,10000.0,10000,1700.0,800,960
319,2018,Q3,Texas,104000.0,115000,15000.0,21000,7500
320,2018,Q3,Utah,35000.0,35000,6500.0,5500,3200
321,2018,Q3,Vermont,7500.0,7500,180.0,520,270
322,2018,Q3,Virginia,11500.0,11500,1200.0,430,430
323,2018,Q3,Washington,82000.0,92000,17000.0,5500,10500
324,2018,Q3,West Virginia,9000.0,9000,930.0,440,1900
325,2018,Q3,Wisconsin,74000.0,75000,12500.0,6000,9000
326,2018,Q3,Wyoming,35000.0,36000,5500.0,3100,3500
327,2018,Q3,Other States 5/,8100.0,10000,1070.0,380,650
328,0,0,0,0.0,0,0.0,0,0
329,2018,Q4,Alabama,7500.0,7500,990.0,550,500
330,2018,Q4,Arizona,27000.0,30000,6500.0,1300,1100
331,2018,Q4,Arkansas,25000.0,25000,7500.0,2500,440
332,2018,Q4,California,680000.0,1200000,155000.0,90000,104000
333,2018,Q4,Colorado,34000.0,34000,7000.0,1500,4000
334,2018,Q4,Connecticut,4000.0,4000,330.0,190,110
335,2018,Q4,Florida,180000.0,240000,50000.0,55000,36000
336,2018,Q4,Georgia,125000.0,145000,21000.0,4300,2200
337,2018,Q4,Hawaii,15000.0,15000,130.0,970,290
338,2018,Q4,Idaho,113000.0,164000,9000.0,10000,5000
339,2018,Q4,Illinois,13500.0,13500,1800.0,140,460
340,2018,Q4,Indiana,11500.0,11500,1700.0,320,100
341,2018,Q4,Iowa,45000.0,45000,6500.0,250,3400
342,2018,Q4,Kansas,6500.0,6500,830.0,140,40
343,2018,Q4,Kentucky,7500.0,7500,870.0,50,120
344,2018,Q4,Louisiana,58000.0,60000,2700.0,390,1900
345,2018,Q4,Maine,5500.0,6000,60.0,220,110
346,2018,Q4,Maryland,8000.0,10500,1300.0,20,410
347,2018,Q4,Massachusetts,6000.0,6000,1100.0,120,550
348,2018,Q4,Michigan,88000.0,88000,11500.0,990,1900
349,2018,Q4,Minnesota,98000.0,98000,7000.0,1900,450
350,2018,Q4,Mississippi,14000.0,22000,3400.0,280,830
351,2018,Q4,Missouri,9500.0,9500,820.0,100,230
352,2018,Q4,Montana,115000.0,121000,13000.0,5500,2900
353,2018,Q4,Nebraska,42000.0,42000,7500.0,80,50
354,2018,Q4,New Jersey,15500.0,15500,1200.0,330,270
355,0,0,0,0.0,0,0.0,0,0
356,2018,Q4,New York,51000.0,51000,3900.0,820,460
357,2018,Q4,North Carolina,23000.0,23000,5000.0,60,290
358,2018,Q4,North Dakota,410000.0,410000,26000.0,10000,2900
359,2018,Q4,Ohio,18500.0,18500,2800.0,510,960
360,0,0,0,0.0,0,0.0,0,0
361,2018,Q4,Oregon,94000.0,94000,10000.0,70,18500
362,2018,Q4,Pennsylvania,24000.0,24000,5500.0,2500,1100
363,2018,Q4,South Carolina,12500.0,15000,2000.0,1300,750
364,0,0,0,0.0,0,0.0,0,0
365,2018,Q4,Tennessee,8500.0,10500,1300.0,230,320
366,2018,Q4,Texas,127000.0,285000,20000.0,3200,1900
367,2018,Q4,Utah,29000.0,29000,2000.0,480,70
368,2018,Q4,Vermont,6500.0,6500,470.0,10,10
369,2018,Q4,Virginia,9500.0,9500,1100.0,300,210
370,2018,Q4,Washington,66000.0,72000,4000.0,2900,14000
371,2018,Q4,West Virginia,8500.0,8500,1200.0,70,1600
372,2018,Q4,Wisconsin,51000.0,55000,8500.0,530,3000
373,2018,Q4,Wyoming,28000.0,29000,3500.0,2500,320
374,2018,Q4,Other States 5/,6070.0,6970,360.0,150,240
375,0,0,0,0.0,0,0.0,0,0
376,2017,Q1,Alabama,7500.0,7500,1700.0,2100,90
377,2017,Q1,Arizona,30000.0,30000,4700.0,3500,150
378,2017,Q1,Arkansas,27000.0,27000,5000.0,5000,1100
379,2017,Q1,California,1130000.0,1410000,200000.0,210000,139000
380,2017,Q1,Colorado,5000.0,8500,750.0,1700,10
381,2017,Q1,Connecticut,2700.0,2700,270.0,70,10
382,2017,Q1,Florida,275000.0,295000,40000.0,49000,15500
383,2017,Q1,Georgia,100000.0,100000,15500.0,36000,3200
384,2017,Q1,Hawaii,15000.0,15000,280.0,570,530
385,2017,Q1,Idaho,91000.0,98000,8500.0,5500,3300
386,2017,Q1,Illinois,8500.0,9500,1400.0,860,40
387,0,0,0,0.0,0,0.0,0,0
388,0,0,0,0.0,0,0.0,0,0
389,2017,Q1,Kansas,5000.0,5000,1100.0,1400,100
390,2017,Q1,Kentucky,6500.0,6500,1300.0,390,40
391,2017,Q1,Louisiana,54000.0,55000,11000.0,9500,2600
392,0,0,0,0.0,0,0.0,0,0
393,2017,Q1,Maryland,7500.0,7500,820.0,1200,10
394,2017,Q1,Massachusetts,3000.0,3000,370.0,1200,140
395,2017,Q1,Michigan,25000.0,42000,5000.0,2300,80
396,0,0,0,0.0,0,0.0,0,0
397,2017,Q1,Mississippi,21000.0,50000,7500.0,48000,25000
398,2017,Q1,Missouri,10000.0,10000,1300.0,5500,420
399,0,0,0,0.0,0,0.0,0,0
400,0,0,0,0.0,0,0.0,0,0
401,2017,Q1,New Jersey,6000.0,6000,1000.0,80,20
402,2017,Q1,New Mexico,6000.0,6500,1700.0,1400,30
403,2017,Q1,New York,31000.0,33000,4200.0,970,600
404,2017,Q1,North Carolina,18500.0,24000,2600.0,1100,230
405,0,0,0,0.0,0,0.0,0,0
406,2017,Q1,Ohio,16500.0,16500,2900.0,760,50
407,2017,Q1,Oklahoma,13500.0,13500,3300.0,4800,570
408,2017,Q1,Oregon,68000.0,92000,2900.0,3800,1300
409,2017,Q1,Pennsylvania,12500.0,12500,2900.0,480,170
410,2017,Q1,South Carolina,16500.0,16500,3500.0,3200,380
411,0,0,0,0.0,0,0.0,0,0
412,2017,Q1,Tennessee,9000.0,9000,1700.0,180,70
413,2017,Q1,Texas,240000.0,320000,30000.0,126000,49000
414,2017,Q1,Utah,12000.0,14500,1900.0,1400,50
415,0,0,0,0.0,0,0.0,0,0
416,2017,Q1,Virginia,6500.0,6500,1100.0,560,70
417,2017,Q1,Washington,77000.0,146000,13500.0,5500,1200
418,0,0,0,0.0,0,0.0,0,0
